query,tool_call
Activate the cooling system in Colibrí—Pilot Valdivia just reported temperatures climbing above nominal.,"control_system(module='colibri',system='cooling',action='activate')"
Activate the cooling system in Cóndor—commander reports temperatures are climbing and approaching the upper limit.,"control_system(module='condor',system='cooling',action='activate')"
Activate the cooling system in Tucán—temperature readings are above nominal and climbing.,"control_system(module='tucan',system='cooling',action='activate')"
Activate the filtration system in Colibrí—Pilot Valdivia just reported elevated particulate levels during comms checks.,"control_system(module='colibri',system='filtration',action='activate')"
Activate the filtration system in Cóndor—commander just reported particulate levels are rising.,"control_system(module='condor',system='filtration',action='activate')"
Activate the filtration system in Jaguar module immediately.,"control_system(module='jaguar',system='filtration',action='activate')"
Activate the filtration system in Quetzal—Nakamura just reported elevated particulate levels during the latest experiment.,"control_system(module='quetzal',system='filtration',action='activate')"
Activate the filtration system in Tucán crew quarters immediately—Mendoza reports elevated CO₂ levels during the last health check.,"control_system(module='tucan',system='filtration',action='activate')"
Activate the filtration system in Vicuña to begin processing the new cargo shipment.,"control_system(module='vicuna',system='filtration',action='activate')"
Activate the heating system in Colibrí—Valdivia just reported temperatures are approaching the lower limit.,"control_system(module='colibri',system='heating',action='activate')"
Activate the heating system in Cóndor—commander reports temperatures are dropping below nominal.,"control_system(module='condor',system='heating',action='activate')"
Activate the heating system in Tucán crew quarters.,"control_system(module='tucan',system='heating',action='activate')"
Activate the heating system in Vicuña to maintain temperature within nominal range.,"control_system(module='vicuna',system='heating',action='activate')"
Activate the lighting system in Tucán crew quarters.,"control_system(module='tucan',system='lighting',action='activate')"
Activate the lighting systems in Cóndor module for Commander Reyes' operational checks.,"control_system(module='condor',system='lighting',action='activate')"
Activate the lighting systems in Quetzal for the upcoming experiment.,"control_system(module='quetzal',system='lighting',action='activate')"
Activate the lighting systems in Vicuña for the upcoming cargo operations.,"control_system(module='vicuna',system='lighting',action='activate')"
Activate the ventilation system in Cóndor—commander reports stale air and needs circulation restored immediately.,"control_system(module='condor',system='ventilation',action='activate')"
Activate the ventilation system in Jaguar module immediately.,"control_system(module='jaguar',system='ventilation',action='activate')"
Activate the ventilation system in Quetzal—Nakamura just reported elevated CO₂ levels during the last experiment.,"control_system(module='quetzal',system='ventilation',action='activate')"
Activate the ventilation system in Tucán crew quarters immediately—Mendoza reports elevated CO₂ levels during crew sleep cycle.,"control_system(module='tucan',system='ventilation',action='activate')"
Activate ventilation in Colibrí module immediately—Pilot Valdivia reports elevated temperature readings.,"control_system(module='colibri',system='ventilation',action='activate')"
Activate ventilation in Vicuña module immediately—storage temps are climbing.,"control_system(module='vicuna',system='ventilation',action='activate')"
Airlock equalization rate in Colibrí is climbing at 0.8 kPa per minute—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Colibrí is climbing at 1.3 kPa per minute—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Colibrí is climbing at 1.3 kPa per minute—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Colibrí is climbing at 1.4 kPa per minute—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Colibrí is climbing at 1.5 kPa per minute—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Colibrí is showing 0.9 kPa per minute and rising—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Quetzal is climbing at 1.5 kPa per minute—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Quetzal is showing 0.9 kPa per minute and rising—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Vicuña is at 0.7 kPa per minute—what emergency steps do we take for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Vicuña is now at 0.6 kPa per minute and rising—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Vicuña is now at 1.2 kPa per minute and rising—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Airlock equalization rate in Vicuña is now at 1.3 kPa per minute and rising—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
"All crew members, this is urgent—stand by for an immediate high-priority message from mission control.","send_message(recipient='all_crew',priority='high')"
"All crew, emergency message: respond immediately—this is an urgent notification.","send_message(recipient='all_crew',priority='urgent')"
"All crew, emergency notification—immediate action required. Acknowledge receipt and prepare for further instructions.","send_message(recipient='all_crew',priority='urgent')"
"All crew, this is Kuntur. We have an urgent update—immediate action required.","send_message(recipient='all_crew',priority='high')"
"All crew, this is Kuntur. We've got a high-priority message coming through—stand by for immediate action.","send_message(recipient='all_crew',priority='high')"
"All crew, this is Kuntur. We've got a high-priority situation—immediate response required.","send_message(recipient='all_crew',priority='high')"
"Altitude readings just hit 414 km, which is 6 km above nominal. What’s the protocol here?","calculate_trajectory(maneuver='orbit_adjustment',urgency='immediate')"
Ana Valdivia just checked in from Colibrí—can you confirm her current schedule and any ongoing tasks in the module?,"get_crew_status(module='colibri',info='schedule')"
Ana Valdivia just reported Colibrí radiation sensors are reading 3.5 mSv/hr and climbing—what emergency procedure should we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Ana Valdivia just reported Colibrí radiation sensors climbing to 2.9 mSv/hr — do we escalate this up the chain?,"send_alert(module='colibri',severity='high',reason='radiation_spike')"
