id,query,tool_call
Q-00001,Cóndor radiation sensors are showing 2.1 mSv/hr and climbing—Commander Reyes has requested we initiate emergency procedures for this scenario.,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00002,"We’ve got a rapid temperature rise in Quetzal, currently reading 3.3 degrees per minute. What emergency procedure should we initiate for this scenario?","activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00003,Can we get the trajectory calculations for the planned reentry maneuver at 408 km LEO before the next shift?,"calculate_trajectory(maneuver='reentry',urgency='planned')"
Q-00004,Give me the pressure readings from Cóndor for the past 24 hours to verify stability.,"get_telemetry(module='condor',metric='pressure',timeframe_hours=24)"
Q-00005,Schedule routine system calibration for Colibrí communications module during the next maintenance window.,"schedule_maintenance(module='colibri',task='system_calibration',priority='routine')"
Q-00007,We’ve got a live CO2 issue in Colibrí—readings just hit 2.1% and climbing. Commander Reyes reports headaches from the crew. What emergency steps should we take here?,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00009,"Can you confirm the current crew schedule and activities in Jaguar, specifically for Engineer Kozlov, before the next shift change?","get_crew_status(module='jaguar',info='schedule')"
Q-00010,"Tucán radiation sensors are at 1.7 mSv/hr and rising—Commander Reyes wants this logged up the chain immediately. Solar activity is increasing, so we need to know what emergency response covers this.","send_alert(module='tucan',severity='medium',reason='radiation_spike')"
Q-00011,Ana Valdivia just reported the Vicuña airlock equalization rate is climbing to 0.7 kPa per minute—what emergency steps do we initiate for this situation?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00012,Radiation sensors in Vicuña are reading 1.4 mSv/hr and climbing; what emergency procedure do we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00013,Nakamura just reported power fluctuations in Quetzal during his last experiment—can we get the current status of the module's power system to assess stability?,"get_module_status(module='quetzal',system='power')"
Q-00016,Tucán pressure sensors are showing 87.8 kPa and still dropping—what emergency response should we initiate?,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-00017,Can you give me a quick overview of Kuntur Station's current mission and module layout before the next crew briefing?,no_action
Q-00018,Kozlov just reported a critical issue with the life support systems in Jaguar—this needs immediate attention from the engineer on duty.,"send_message(recipient='engineer',priority='urgent')"
Q-00019,Jaguar airlock equalization rate is showing 1.2 kPa per minute and still increasing—what emergency procedure should we initiate for this scenario?,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00020,Can we get the trajectory calculations for the planned docking maneuver at 408 km LEO?,"calculate_trajectory(maneuver='docking',urgency='planned')"
Q-00023,Can we get a quick health status update for the engineer currently working in the Jaguar module?,"get_crew_status(module='jaguar',info='health')"
Q-00024,Hull stress readings in Quetzal have spiked to 93.3% — Specialist Nakamura reports possible micrometeorite impact. What’s the emergency procedure here?,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00026,"We’ve got a rapid pressure drop in Quetzal, currently reading 82.6 kPa—what emergency procedure should we initiate for this?","send_alert(module='quetzal',severity='critical',reason='pressure_drop')"
Q-00027,Jaguar power grid showing 98.1% consumption and climbing rapidly — Kai Nakamura reports fluctuating readings. What emergency steps should we initiate for this situation?,"send_alert(module='jaguar',severity='critical',reason='power_fluctuation')"
Q-00028,We need to schedule an urgent hull inspection for Vicuña module.,"schedule_maintenance(module='vicuna',task='hull_inspection',priority='urgent')"
Q-00029,I need to log an alert — Quetzal pressure sensors are reading 86.3 kPa and dropping. What emergency steps should we initiate for this situation?,"send_alert(module='quetzal',severity='high',reason='pressure_drop')"
Q-00030,Kozlov reported Jaguar's thermal system is showing irregularities—can we get a full status check on that module's heat management?,"get_module_status(module='jaguar',system='thermal')"
Q-00031,Schedule routine filter replacement in Tucán crew quarters during the next maintenance window.,"schedule_maintenance(module='tucan',task='filter_replacement',priority='routine')"
Q-00032,Check the inventory for spare EVA equipment and submit a routine resupply request before the next logistics window.,"request_supply(category='equipment',urgency='routine')"
Q-00033,Ana Valdivia just reported oxygen concentration in Quetzal is down to 14.2% and still dropping—what emergency procedure should we initiate for this?,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00034,Jaguar power grid showing 97.2% consumption and climbing rapidly — Kai Nakamura reports fluctuating readings in the life support systems. What emergency steps do we initiate here?,"activate_protocol(protocol_id='MASA-SEC-006',scope='station_wide')"
Q-00035,Check the current thermal status in Tucán—need to confirm readings are within nominal range.,"get_module_status(module='tucan',system='thermal')"
Q-00036,Oxygen concentration in Jaguar has dropped to 12.2%—Engineer Kozlov reports crew experiencing lightheadedness. What emergency steps should we initiate?,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')"
Q-00037,We need to calculate the optimal reentry trajectory immediately—station altitude is 408 km LEO.,"calculate_trajectory(maneuver='reentry',urgency='immediate')"
Q-00038,Vicuña hull stress sensors just hit 88.2% and climbing — Commander Reyes reports a possible micrometeorite impact. What emergency steps do we take?,"send_alert(module='vicuna',severity='high',reason='structural_damage')"
Q-00039,Check the current thermal status in Jaguar and confirm all readings are within nominal ranges.,"get_module_status(module='jaguar',system='thermal')"
